Type,Magnitude,Place,Time,Updated,Ids,Coords,Felt,CDI,MMI,Alert,Tsunami,sig,rms,Size
earthquake,0.09,"97 km NNW of Karluk, Alaska",2022-01-05 22:56:19.680,2022-01-07 00:22:23.390,av91457971,"[-154.917166666667, 58.4128333333333, 6.35]",,,,,0,0,0.2,11.607142857142858
earthquake,4.2,"140 km NNE of Hirara, Japan",2022-01-05 22:53:50.208,2022-03-12 23:19:22.040,us7000gc0b,"[125.7069, 26.0189, 72.3]",,,,,0,271,0.78,17.252747252747252
earthquake,1.8,"60 km N of Petersville, Alaska",2022-01-05 22:46:19.407,2022-01-31 19:01:23.143,ak0228mgqkk,"[-150.9662, 63.0281, 123.1]",,,,,0,50,0.42,13.956043956043956
earthquake,2.81,"5 km SSW of P?hala, Hawaii",2022-01-05 22:38:26.180,2022-08-06 17:17:59.025,hv72858922,"[-155.4915, 19.1543333333333, 36.77]",1.0,2.0,,,0,122,0.12,15.343406593406593
earthquake,5.0,south of the Kermadec Islands,2022-01-05 22:31:47.751,2022-03-12 23:19:10.040,us7000g9cf,"[-174.9087, -32.3207, 10]",,,,,0,385,0.61,18.35164835164835
earthquake,1.5,"45 km WNW of Beluga, Alaska",2022-01-05 22:25:30.979,2022-01-31 19:01:22.772,ak0228mc9gc,"[-151.8239, 61.347, 86.3]",,,,,0,35,0.46,13.543956043956044
earthquake,4.7,central Mid-Atlantic Ridge,2022-01-05 22:08:40.646,2022-03-12 23:19:22.040,us7000gc0d,"[-24.7111, -0.8054, 10]",,,,,0,340,0.91,17.939560439560438
earthquake,1.3,Southern Alaska,2022-01-05 22:06:58.992,2022-01-31 19:01:22.422,ak0228m88yn,"[-149.255, 61.156, 29.3]",,,,,0,26,0.51,13.269230769230768
earthquake,0.79,"23km N of Ridgecrest, CA",2022-01-05 22:05:30.510,2022-01-05 22:55:29.377,ci39903407,"[-117.6593333, 35.8305, 10.27]",,,,,0,10,0.09,12.56868131868132
earthquake,1.1,"34 km SE of Mina, Nevada",2022-01-05 21:57:47.625,2022-01-05 22:01:48.219,nn00831141,"[-117.809, 38.1871, 0]",,,,,0,19,0.1328,12.994505494505495
earthquake,0.46,"7km WNW of Cobb, CA",2022-01-05 21:55:37.310,2022-01-08 06:03:11.818,nc73674166,"[-122.8056667, 38.8356667, 2.27]",,,,,0,3,0.02,12.115384615384615
earthquake,0.37,"8km WNW of Cobb, CA",2022-01-05 21:55:26.150,2022-01-11 00:05:10.992,nc73674161,"[-122.8093333, 38.8376667, 2.98]",,,,,0,2,0.07,11.991758241758241
earthquake,0.0,"98 km NNW of Karluk, Alaska",2022-01-05 21:53:53.870,2022-01-07 00:19:10.640,av91457951,"[-154.919166666667, 58.4186666666667, 4.4]",,,,,0,0,0.18,11.483516483516484
earthquake,1.33,"22km N of Yucca Valley, CA",2022-01-05 21:53:04.430,2022-01-05 22:52:04.090,ci39903399,"[-116.4438333, 34.3143333, 11.02]",,,,,0,27,0.13,13.31043956043956
earthquake,1.12,"25 km NNW of Wisdom, Montana",2022-01-05 21:51:54.850,2022-01-06 23:25:39.260,mb80535374,"[-113.5905, 45.8263333, 6.02]",,,,,0,19,0.2,13.021978021978022
earthquake,2.2,"37 km S of Goldfield, Nevada",2022-01-05 21:38:56.479,2022-01-06 03:37:41.011,nn00831137,"[-117.1568, 37.3776, 9.6]",,,,,0,74,0.2056,14.505494505494505
earthquake,0.38,"11km WNW of Cobb, CA",2022-01-05 21:35:42.440,2022-01-05 21:47:12.438,nc73674146,"[-122.8395004, 38.857666, 1.02]",,,,,0,2,0.01,12.005494505494505
earthquake,1.4,"7 km W of Blue Diamond, Nevada",2022-01-05 21:30:21.361,2022-01-05 21:35:09.650,nn00831135,"[-115.4912, 36.0473, 0]",,,,,0,30,0.3128,13.406593406593407
earthquake,-0.5,"22km E of Little Lake, CA",2022-01-05 21:25:19.400,2022-01-05 22:47:27.120,ci39903375,"[-117.6626667, 35.9383333, 3.72]",,,,,0,0,0.06,10.796703296703297
earthquake,2.57,"14km S of Ferndale, CA",2022-01-05 21:20:34.190,2022-08-06 17:18:18.486,nc73674136,"[-124.274, 40.4543333, 25.14]",1.0,1.0,,,0,102,0.1,15.013736263736263
earthquake,1.13,"4km WNW of San Francisco Zoo, CA",2022-01-05 21:20:17.470,2022-01-06 20:48:10.442,nc73674141,"[-122.541, 37.7473333, 10.66]",,,,,0,20,0.05,13.035714285714285
earthquake,0.89,"10km WSW of Anza, CA",2022-01-05 21:15:17.630,2022-01-05 22:20:39.005,ci39903367,"[-116.7693333, 33.5098333, 2.19]",,,,,0,12,0.19,12.706043956043956
earthquake,0.86,"10km WSW of Anza, CA",2022-01-05 21:11:35.290,2022-01-05 22:20:42.190,ci39903359,"[-116.7688333, 33.509, 2.31]",,,,,0,11,0.16,12.664835164835164
earthquake,0.83,"2km ENE of Anza, CA",2022-01-05 21:11:19.800,2022-01-05 22:20:48.694,ci39903351,"[-116.6481667, 33.5618333, 10.24]",,,,,0,11,0.12,12.623626373626374
earthquake,2.13,"29 km E of Honaunau-Napoopoo, Hawaii",2022-01-05 21:09:51.730,2022-01-06 03:14:44.870,hv72858797,"[-155.583833333333, 19.492, -1.42]",,,,,0,70,0.17,14.409340659340659
earthquake,2.00999999,"6 km SSW of P?hala, Hawaii",2022-01-05 21:05:52.650,2022-01-05 21:09:02.330,hv72858792,"[-155.494506835938, 19.1491661071777, 34.6800003051758]",,,,,0,62,0.119999997,14.24450548076923
earthquake,0.7,"3km NNW of Palomar Observatory, CA",2022-01-05 21:03:47.620,2022-01-05 22:19:59.142,ci39903335,"[-116.874, 33.385, 5.13]",,,,,0,8,0.12,12.445054945054945
earthquake,4.3,Fiji region,2022-01-05 20:58:16.386,2022-03-12 23:19:22.040,us7000gc08,"[-177.6373, -18.6159, 626.81]",,,,,0,284,0.18,17.39010989010989
earthquake,1.4,"4 km E of Walker, California",2022-01-05 20:54:33.189,2022-01-08 00:23:41.471,nn00831131,"[-119.4197, 38.5171, 4.6]",,,,,0,30,0.1727,13.406593406593407
earthquake,3.2,"Andreanof Islands, Aleutian Islands, Alaska",2022-01-05 20:53:27.594,2022-03-12 23:19:25.040,us7000ggqd,"[-177.0529, 51.4272, 35]",,,,,0,158,0.23,15.87912087912088
earthquake,4.9,"Komandorskiye Ostrova, Russia region",2022-01-05 20:52:02.094,2022-06-23 20:11:57.261,us7000g9bl,"[168.9688, 54.2823, 10]",,,2.953,,0,369,0.93,18.214285714285715
earthquake,4.8,"119 km SE of Lata, Solomon Islands",2022-01-05 20:42:35.932,2022-03-12 23:19:10.040,us7000g9bj,"[166.4968, -11.5589, 127.95]",,,,,0,354,0.59,18.076923076923077
earthquake,1.7,"43 km ESE of West Yellowstone, Montana",2022-01-05 20:39:11.650,2022-01-05 22:15:03.510,uu60476287,"[-110.5951667, 44.5131667, 3.49]",,,,,0,44,0.11,13.81868131868132
earthquake,1.73000002,"6 km E of P?hala, Hawaii",2022-01-05 20:31:14.960,2022-01-05 20:34:12.340,hv72858762,"[-155.413330078125, 19.2110004425049, 32.5499992370605]",,,,,0,46,0.100000001,13.859890137362637
earthquake,0.84,"13km ENE of Cloverdale, CA",2022-01-05 20:30:56.690,2022-01-05 22:12:11.231,nc73674131,"[-122.8795013, 38.8421669, 2.43]",,,,,0,11,0.03,12.637362637362637
earthquake,1.6,"30 km S of Halibut Cove, Alaska",2022-01-05 20:29:56.901,2022-01-31 19:01:33.170,ak0228l6b4a,"[-151.1748, 59.3202, 41.3]",,,,,0,39,0.4,13.681318681318682
earthquake,1.34,"7km NW of The Geysers, CA",2022-01-05 20:26:04.520,2022-01-11 02:51:10.701,nc73674126,"[-122.8105, 38.8241667, 2.16]",,,,,0,28,0.03,13.324175824175825
earthquake,2.02,"15 km SSE of Sunnyside, Utah",2022-01-05 20:22:51.380,2022-01-06 16:58:41.810,uu60476277,"[-110.3136667, 39.424, -1.37]",,,,,0,63,0.02,14.258241758241759
earthquake,1.3,"34 km SE of Mina, Nevada",2022-01-05 20:10:04.785,2022-01-07 00:59:31.022,nn00831126,"[-117.8227, 38.1743, 9]",,,,,0,26,0.1556,13.269230769230768
earthquake,1.3,"27 km S of Susitna, Alaska",2022-01-05 20:09:33.463,2022-01-31 19:01:21.722,ak0228l1yys,"[-150.5196, 61.2931, 46.9]",,,,,0,26,0.38,13.269230769230768
earthquake,2.0999999,"5 km NE of P?hala, Hawaii",2022-01-05 20:06:38.460,2022-01-05 20:09:40.760,hv72858752,"[-155.438827514648, 19.232666015625, 35.1599998474121]",,,,,0,68,0.100000001,14.36813173076923
